user_id,age,country,subscription_type,registration_date,total_watch_time_hours,age_group
U0116,30,Mexico,Basic,2023-06-18,471.0,21-30 years
U0118,44,Chile,Basic,2023-04-05,64.4,41-50 years
U0119,54,Colombia,Premium,2023-03-20,689.8,51-60 years
U0120,45,Colombia,Standard,2023-06-14,221.6,41-50 years
U0121,49,Mexico,Standard,2022-05-18,126.3,41-50 years
U0122,31,Peru,Basic,2022-09-05,486.5,31-40 years
U0123,33,Mexico,Standard,2022-08-02,55.2,31-40 years
U0124,19,Peru,Basic,2022-01-12,233.2,11-20 years
U0125,38,Chile,Premium,2023-07-15,49.4,31-40 years
U0126,33,Mexico,Standard,2024-01-19,533.4,31-40 years
U0127,45,Argentina,Standard,2023-12-17,183.3,41-50 years
U0128,29,Mexico,Premium,2022-11-08,143.5,21-30 years
U0129,60,Argentina,Premium,2023-10-21,742.8,51-60 years
U0130,31,Mexico,Basic,2023-06-12,22.7,31-40 years
U0131,41,Colombia,Basic,2022-06-06,238.3,41-50 years
U0132,44,Peru,Basic,2022-08-16,260.2,41-50 years
U0133,45,Colombia,Basic,2023-02-05,284.6,41-50 years
U0134,42,Mexico,Basic,2022-03-20,492.0,41-50 years
U0135,49,Colombia,Standard,2022-02-13,180.6,41-50 years
U0136,48,Mexico,Basic,2024-01-19,363.0,41-50 years
U0137,24,Mexico,Basic,2022-05-10,76.8,21-30 years
U0138,40,Colombia,Basic,2023-07-20,311.2,31-40 years
U0139,46,Argentina,Basic,2023-06-18,183.0,41-50 years
U0140,41,Argentina,Basic,2022-08-07,201.4,41-50 years
U0141,21,Chile,Basic,2022-04-19,285.1,21-30 years
U0142,24,Mexico,Premium,2023-08-31,738.3,21-30 years
U0143,65,Mexico,Standard,2022-03-26,423.8,61-70 years
U0144,31,Peru,Premium,2023-01-29,196.2,31-40 years
U0145,26,Argentina,Premium,2023-05-02,173.5,21-30 years
U0146,18,Colombia,Premium,2022-06-16,872.4,11-20 years
U0147,23,Colombia,Premium,2022-12-05,56.8,21-30 years
U0148,27,Mexico,Premium,2022-08-13,515.3,21-30 years
U0149,30,Chile,Premium,2023-11-09,416.6,21-30 years
U0150,21,Mexico,Standard,2022-06-05,87.2,21-30 years
U0151,62,Mexico,Standard,2022-04-03,81.9,61-70 years
U0152,20,Mexico,Basic,2023-01-03,247.9,11-20 years
U0153,31,Mexico,Premium,2022-09-02,250.4,31-40 years
U0154,45,Colombia,Standard,2022-12-16,406.9,41-50 years
U0155,23,Argentina,Basic,2023-11-23,16.1,21-30 years
U0156,38,Argentina,Standard,2023-11-17,247.6,31-40 years
U0157,32,Mexico,Standard,2022-03-04,46.1,31-40 years
U0159,36,Argentina,Premium,2022-08-29,142.6,31-40 years
U0160,18,Argentina,Standard,2023-09-12,591.9,11-20 years
U0161,59,Mexico,Standard,2023-07-11,150.1,51-60 years
U0162,44,Peru,Basic,2023-07-23,190.2,41-50 years
U0163,58,Mexico,Standard,2022-05-14,458.8,51-60 years
U0164,20,Colombia,Premium,2023-09-10,333.9,11-20 years
U0165,38,Mexico,Premium,2023-12-08,844.8,31-40 years
U0166,40,Argentina,Premium,2023-06-03,763.7,31-40 years
U0167,59,Argentina,Premium,2022-10-29,88.5,51-60 years
U0168,64,Colombia,Basic,2022-07-08,278.0,61-70 years
U0169,46,Colombia,Premium,2022-04-18,738.8,41-50 years
U0170,65,Colombia,Basic,2023-07-01,96.6,61-70 years
U0171,58,Peru,Premium,2023-11-26,80.3,51-60 years
U0172,31,Colombia,Standard,2024-01-10,222.7,31-40 years
U0173,48,Mexico,Basic,2022-10-18,330.2,41-50 years
U0174,53,Colombia,Basic,2023-07-12,81.0,51-60 years
U0175,19,Chile,Premium,2022-09-24,807.6,11-20 years
U0176,58,Argentina,Premium,2023-11-20,160.3,51-60 years
U0177,30,Colombia,Basic,2023-01-10,100.2,21-30 years
U0178,26,Mexico,Basic,2024-01-02,336.9,21-30 years
U0179,35,Mexico,Basic,2022-05-05,447.5,31-40 years
U0180,22,Argentina,Basic,2023-01-05,41.6,21-30 years
U0181,34,Argentina,Basic,2023-01-05,73.7,31-40 years
U0182,44,Argentina,Basic,2022-04-05,314.3,41-50 years
U0183,51,Mexico,Standard,2023-07-22,468.1,51-60 years
U0184,60,Argentina,Basic,2023-07-02,62.3,51-60 years
U0185,39,Colombia,Standard,2022-10-21,482.0,31-40 years
U0186,58,Peru,Standard,2024-02-20,531.0,51-60 years
U0187,37,Mexico,Standard,2023-03-27,574.6,31-40 years
U0188,18,Chile,Basic,2022-04-06,463.1,11-20 years
U0189,57,Chile,Standard,2022-04-14,504.2,51-60 years
U0190,46,Chile,Basic,2023-02-02,410.6,41-50 years
U0191,40,Colombia,Premium,2023-11-22,196.7,31-40 years
U0192,26,Argentina,Premium,2023-02-01,22.4,21-30 years
U0193,31,Argentina,Basic,2022-09-03,458.7,31-40 years
U0194,44,Colombia,Premium,2022-05-13,806.9,41-50 years
U0195,23,Argentina,Basic,2022-06-28,300.0,21-30 years
U0196,44,Mexico,Basic,2022-06-22,390.9,41-50 years
U0197,42,Peru,Standard,2022-11-09,50.2,41-50 years
U0198,19,Mexico,Basic,2022-05-05,437.5,11-20 years
U0199,43,Mexico,Standard,2022-09-30,346.2,41-50 years
U0200,58,Mexico,Premium,2023-11-22,497.5,51-60 years
U0201,30,Colombia,Basic,2022-11-14,162.6,21-30 years
U0202,53,Peru,Basic,2023-11-09,158.2,51-60 years
U0203,19,Peru,Basic,2023-11-13,89.3,11-20 years
U0204,36,Argentina,Standard,2022-07-24,263.1,31-40 years
U0205,49,Colombia,Basic,2022-02-16,217.1,41-50 years
U0206,27,Mexico,Basic,2022-06-24,370.0,21-30 years
U0207,53,Peru,Standard,2022-08-16,485.8,51-60 years
U0208,22,Colombia,Standard,2023-04-05,387.2,21-30 years
U0209,30,Mexico,Basic,2023-02-15,289.0,21-30 years
U0210,45,Colombia,Premium,2023-12-30,544.1,41-50 years
U0211,41,Colombia,Basic,2022-03-18,473.0,41-50 years
U0212,31,Peru,Premium,2022-04-02,450.5,31-40 years
U0213,52,Colombia,Premium,2022-11-15,636.6,51-60 years
U0214,31,Peru,Standard,2023-11-23,33.0,31-40 years
U0215,59,Argentina,Standard,2023-06-22,63.0,51-60 years
U0216,63,Mexico,Basic,2022-02-21,378.3,61-70 years
U0217,64,Mexico,Basic,2023-04-29,280.3,61-70 years
U0218,39,Colombia,Basic,2023-11-09,99.4,31-40 years
U0219,60,Peru,Basic,2023-02-19,438.6,51-60 years
U0220,60,Argentina,Standard,2023-11-28,65.8,51-60 years
U0221,20,Colombia,Basic,2022-08-10,93.1,11-20 years
U0222,59,Chile,Basic,2022-05-20,353.9,51-60 years
U0223,60,Mexico,Premium,2023-08-21,284.3,51-60 years
U0224,50,Chile,Basic,2023-03-07,355.8,41-50 years
U0225,36,Colombia,Basic,2023-02-25,423.8,31-40 years
U0226,52,Mexico,Premium,2023-06-26,763.4,51-60 years
U0227,53,Colombia,Standard,2022-04-04,535.4,51-60 years
U0228,18,Peru,Basic,2023-08-18,336.5,11-20 years
U0229,27,Mexico,Basic,2023-06-17,420.0,21-30 years
U0230,60,Argentina,Premium,2023-09-08,107.2,51-60 years
U0231,59,Colombia,Basic,2022-09-10,285.5,51-60 years
U0232,53,Colombia,Premium,2023-05-06,44.0,51-60 years
U0233,36,Argentina,Basic,2024-02-10,238.0,31-40 years
U0234,59,Chile,Basic,2024-01-28,134.3,51-60 years
U0235,52,Mexico,Standard,2024-02-21,308.6,51-60 years
U0236,55,Mexico,Standard,2023-10-30,426.8,51-60 years
U0237,39,Colombia,Basic,2022-07-23,92.9,31-40 years
U0238,41,Peru,Basic,2022-02-23,297.1,41-50 years
U0239,49,Argentina,Basic,2023-01-17,379.6,41-50 years
U0240,60,Chile,Basic,2022-07-01,407.8,51-60 years
U0241,60,Mexico,Standard,2023-09-25,49.3,51-60 years
U0242,54,Argentina,Standard,2023-01-28,526.9,51-60 years
U0243,50,Mexico,Basic,2023-11-27,359.3,41-50 years
U0244,49,Colombia,Basic,2023-06-23,380.4,41-50 years
U0245,58,Chile,Basic,2023-06-22,228.4,51-60 years
U0246,38,Argentina,Premium,2023-09-12,639.0,31-40 years
U0247,44,Peru,Basic,2024-02-21,327.8,41-50 years
U0248,35,Mexico,Premium,2022-12-12,682.6,31-40 years
U0249,29,Chile,Premium,2022-08-29,132.1,21-30 years
U0250,63,Colombia,Standard,2022-02-24,376.4,61-70 years
U0251,63,Mexico,Basic,2022-05-28,171.7,61-70 years
U0252,20,Chile,Basic,2022-05-24,90.3,11-20 years
U0253,59,Chile,Standard,2022-06-21,373.5,51-60 years
U0254,43,Colombia,Basic,2024-02-02,406.5,41-50 years
U0255,53,Peru,Standard,2022-09-13,280.0,51-60 years
U0256,59,Chile,Premium,2022-07-07,698.9,51-60 years
U0257,49,Peru,Basic,2023-05-28,337.6,41-50 years
U0258,48,Colombia,Standard,2022-06-09,174.7,41-50 years
U0259,61,Colombia,Premium,2023-06-02,581.1,61-70 years
U0260,32,Colombia,Standard,2022-03-10,263.0,31-40 years
U0261,48,Argentina,Standard,2023-02-10,199.3,41-50 years
U0262,58,Peru,Basic,2023-03-16,390.4,51-60 years
U0263,62,Mexico,Basic,2022-04-01,441.3,61-70 years
U0264,46,Mexico,Basic,2023-04-20,17.1,41-50 years
U0265,20,Chile,Standard,2024-01-01,641.8,11-20 years
U0266,41,Mexico,Premium,2022-11-25,782.7,41-50 years
U0267,62,Argentina,Basic,2023-07-16,315.5,61-70 years
U0268,53,Argentina,Basic,2023-05-03,330.7,51-60 years
U0269,55,Mexico,Standard,2023-12-13,191.3,51-60 years
U0270,32,Argentina,Standard,2022-02-03,120.6,31-40 years
U0271,59,Mexico,Standard,2023-04-05,117.9,51-60 years
U0272,61,Colombia,Standard,2023-04-26,237.6,61-70 years
U0274,26,Argentina,Basic,2022-10-03,525.5,21-30 years
U0275,40,Colombia,Premium,2023-07-12,324.5,31-40 years
U0276,22,Argentina,Basic,2022-12-21,121.9,21-30 years
U0277,21,Colombia,Premium,2022-05-01,624.0,21-30 years
U0278,51,Mexico,Premium,2022-01-11,547.2,51-60 years
U0279,50,Mexico,Standard,2023-03-07,247.0,41-50 years
U0280,49,Colombia,Basic,2022-03-07,401.3,41-50 years
U0281,29,Argentina,Basic,2022-12-24,134.4,21-30 years
U0282,62,Chile,Standard,2023-03-01,400.9,61-70 years
U0283,25,Chile,Standard,2023-02-10,60.6,21-30 years
U0284,50,Mexico,Basic,2023-01-20,60.2,41-50 years
U0285,34,Chile,Standard,2022-04-02,419.1,31-40 years
U0286,41,Colombia,Basic,2022-06-29,103.1,41-50 years
U0288,59,Colombia,Premium,2023-04-05,837.5,51-60 years
U0289,45,Argentina,Premium,2023-04-04,720.3,41-50 years
U0290,44,Chile,Premium,2022-02-22,112.0,41-50 years
U0291,37,Argentina,Premium,2023-06-04,404.7,31-40 years
U0292,64,Argentina,Standard,2022-12-07,205.4,61-70 years
U0293,22,Argentina,Standard,2022-12-08,405.0,21-30 years
U0294,25,Mexico,Standard,2022-01-28,300.6,21-30 years
U0295,50,Chile,Basic,2022-11-26,26.2,41-50 years
U0296,31,Colombia,Standard,2022-10-21,197.9,31-40 years
U0297,36,Colombia,Basic,2022-06-05,166.7,31-40 years
U0298,48,Colombia,Standard,2023-01-05,145.1,41-50 years
U0299,20,Argentina,Standard,2023-09-23,317.8,11-20 years
U0300,27,Mexico,Basic,2022-08-01,189.0,21-30 years
U0301,62,Argentina,Standard,2023-05-03,306.2,61-70 years
U0302,37,Peru,Premium,2022-06-16,212.9,31-40 years
U0303,48,Colombia,Standard,2022-12-05,291.9,41-50 years
U0304,46,Colombia,Basic,2023-04-20,405.7,41-50 years
U0305,35,Colombia,Basic,2023-03-23,362.6,31-40 years
U0306,36,Argentina,Basic,2022-03-23,329.1,31-40 years
U0308,57,Mexico,Basic,2022-11-26,177.8,51-60 years
U0309,54,Mexico,Premium,2023-09-20,485.8,51-60 years
U0310,32,Peru,Basic,2022-02-28,88.9,31-40 years
U0311,44,Peru,Premium,2023-06-06,455.3,41-50 years
U0312,57,Colombia,Premium,2022-10-07,553.7,51-60 years
U0313,36,Chile,Basic,2022-06-29,455.2,31-40 years
U0314,33,Argentina,Standard,2023-12-16,257.3,31-40 years
U0315,65,Colombia,Basic,2022-03-26,266.2,61-70 years
U0316,53,Colombia,Basic,2022-03-06,171.4,51-60 years
U0317,62,Colombia,Premium,2023-10-10,844.7,61-70 years
U0318,28,Colombia,Standard,2022-12-19,465.7,21-30 years
U0320,37,Argentina,Basic,2023-03-02,85.7,31-40 years
U0321,47,Mexico,Premium,2022-10-02,624.5,41-50 years
U0322,57,Peru,Standard,2022-07-20,167.8,51-60 years
U0323,55,Mexico,Basic,2023-09-01,30.7,51-60 years
U0324,37,Chile,Premium,2024-02-26,208.0,31-40 years
U0325,46,Colombia,Basic,2022-01-27,98.6,41-50 years
U0326,39,Mexico,Basic,2023-09-30,336.2,31-40 years
U0327,28,Mexico,Premium,2022-11-30,64.6,21-30 years
U0328,33,Chile,Basic,2022-02-12,180.2,31-40 years
U0329,23,Mexico,Standard,2022-06-28,603.6,21-30 years
U0330,45,Chile,Premium,2022-06-26,112.6,41-50 years
U0331,53,Mexico,Premium,2023-06-21,62.7,51-60 years
U0332,60,Mexico,Standard,2022-08-31,357.1,51-60 years
U0333,44,Argentina,Premium,2022-06-09,252.8,41-50 years
U0334,37,Argentina,Standard,2022-06-24,276.9,31-40 years
U0335,26,Colombia,Premium,2023-08-19,419.6,21-30 years
U0336,43,Mexico,Basic,2022-01-24,311.6,41-50 years
U0337,37,Peru,Standard,2023-03-20,265.9,31-40 years
U0338,56,Colombia,Basic,2022-06-13,412.3,51-60 years
U0339,27,Chile,Basic,2022-07-17,134.3,21-30 years
U0340,65,Chile,Standard,2023-11-20,429.2,61-70 years
U0341,50,Chile,Basic,2022-05-30,494.8,41-50 years
U0342,55,Colombia,Standard,2023-12-21,510.2,51-60 years
U0343,30,Mexico,Premium,2022-06-12,538.8,21-30 years
U0344,32,Peru,Standard,2023-05-26,538.9,31-40 years
U0345,25,Mexico,Basic,2022-04-07,174.1,21-30 years
U0346,29,Mexico,Standard,2023-12-19,23.7,21-30 years
U0347,64,Colombia,Premium,2024-02-24,571.1,61-70 years
U0348,60,Colombia,Premium,2023-02-19,222.0,51-60 years
U0349,58,Peru,Basic,2022-08-26,358.7,51-60 years
U0351,22,Peru,Basic,2022-10-02,146.6,21-30 years
U0352,37,Argentina,Basic,2022-09-30,125.7,31-40 years
U0353,27,Chile,Basic,2023-09-25,121.1,21-30 years
U0354,30,Argentina,Premium,2022-01-10,667.0,21-30 years
U0355,23,Colombia,Basic,2023-02-24,287.5,21-30 years
U0356,49,Argentina,Standard,2022-03-14,121.1,41-50 years
U0357,38,Argentina,Basic,2023-06-01,45.3,31-40 years
U0358,52,Chile,Standard,2022-11-14,61.5,51-60 years
U0359,46,Mexico,Standard,2023-10-15,26.3,41-50 years
U0360,34,Mexico,Basic,2022-12-09,72.4,31-40 years
U0361,65,Argentina,Premium,2024-01-20,430.6,61-70 years
U0362,37,Chile,Basic,2022-04-30,351.3,31-40 years
U0363,48,Argentina,Standard,2022-12-26,231.2,41-50 years
U0365,62,Mexico,Basic,2022-09-18,126.9,61-70 years
U0366,51,Colombia,Standard,2022-04-05,65.6,51-60 years
U0367,59,Mexico,Basic,2024-01-01,161.9,51-60 years
U0368,46,Argentina,Premium,2023-04-04,399.7,41-50 years
U0369,29,Argentina,Basic,2022-09-04,107.7,21-30 years
U0370,61,Mexico,Standard,2022-12-07,120.3,61-70 years
U0371,46,Chile,Standard,2024-02-13,96.5,41-50 years
U0372,61,Colombia,Standard,2023-07-16,139.8,61-70 years
U0373,45,Chile,Standard,2023-01-16,234.0,41-50 years
U0374,34,Chile,Premium,2023-08-10,378.9,31-40 years
U0375,43,Peru,Premium,2023-07-02,708.4,41-50 years
U0376,61,Mexico,Basic,2023-10-30,11.5,61-70 years
U0377,32,Mexico,Standard,2023-05-02,144.6,31-40 years
U0378,56,Colombia,Premium,2022-08-24,154.5,51-60 years
U0379,56,Mexico,Premium,2022-12-19,410.3,51-60 years
U0380,63,Argentina,Premium,2023-09-19,300.5,61-70 years
U0381,63,Colombia,Standard,2022-01-04,356.2,61-70 years
U0383,21,Chile,Standard,2022-09-01,28.0,21-30 years
U0384,26,Mexico,Premium,2022-10-05,218.6,21-30 years
U0385,29,Mexico,Standard,2023-11-17,511.1,21-30 years
U0386,28,Peru,Basic,2022-09-05,297.0,21-30 years
U0387,29,Mexico,Premium,2023-10-22,320.1,21-30 years
U0388,43,Chile,Basic,2023-07-15,242.5,41-50 years
U0389,42,Mexico,Basic,2023-07-31,215.5,41-50 years
U0390,62,Peru,Premium,2023-11-08,304.7,61-70 years
U0391,26,Chile,Standard,2022-03-18,163.4,21-30 years
U0392,46,Mexico,Basic,2023-10-27,158.1,41-50 years
U0393,23,Colombia,Premium,2023-01-11,203.0,21-30 years
U0395,47,Mexico,Standard,2023-07-11,449.0,41-50 years
U0396,57,Mexico,Basic,2022-02-11,33.4,51-60 years
U0397,27,Argentina,Standard,2023-04-21,510.2,21-30 years
U0398,32,Colombia,Basic,2022-04-16,263.6,31-40 years
U0399,20,Colombia,Basic,2023-09-29,462.8,11-20 years
U0400,41,Colombia,Basic,2022-05-15,474.4,41-50 years
U0401,32,Colombia,Standard,2022-01-21,416.9,31-40 years
U0402,22,Mexico,Premium,2022-03-16,572.3,21-30 years
U0403,50,Peru,Standard,2023-05-07,328.1,41-50 years
U0404,49,Mexico,Premium,2022-10-26,645.4,41-50 years
U0405,30,Colombia,Standard,2022-11-29,482.8,21-30 years
U0406,58,Argentina,Standard,2023-10-27,116.0,51-60 years
U0407,57,Mexico,Premium,2022-08-07,747.0,51-60 years
U0408,20,Mexico,Standard,2023-11-11,451.5,11-20 years
U0409,30,Mexico,Basic,2023-10-04,433.5,21-30 years
U0410,35,Chile,Basic,2023-04-27,150.6,31-40 years
U0411,52,Mexico,Basic,2023-02-05,150.4,51-60 years
U0412,33,Chile,Premium,2022-06-06,95.5,31-40 years
U0413,41,Mexico,Standard,2023-10-12,148.8,41-50 years
U0414,41,Mexico,Standard,2022-04-19,374.8,41-50 years
U0415,21,Colombia,Premium,2023-12-31,832.0,21-30 years
U0416,41,Colombia,Premium,2023-09-21,762.7,41-50 years
U0417,54,Colombia,Basic,2022-02-12,294.8,51-60 years
U0418,43,Argentina,Basic,2024-01-14,389.0,41-50 years
U0419,39,Mexico,Basic,2023-11-03,62.1,31-40 years
U0420,58,Peru,Standard,2022-07-20,446.6,51-60 years
U0421,37,Chile,Standard,2023-10-20,254.2,31-40 years
U0422,46,Argentina,Standard,2023-08-26,379.9,41-50 years
U0423,30,Peru,Standard,2023-08-26,206.4,21-30 years
U0424,48,Mexico,Basic,2023-08-21,353.7,41-50 years
U0425,61,Mexico,Standard,2022-09-18,492.8,61-70 years
U0426,49,Colombia,Premium,2023-01-13,519.2,41-50 years
U0427,41,Chile,Basic,2022-06-12,234.1,41-50 years
U0428,51,Peru,Standard,2022-03-08,352.6,51-60 years
U0429,27,Argentina,Standard,2023-10-18,294.5,21-30 years
U0430,21,Argentina,Premium,2023-11-14,410.7,21-30 years
U0431,61,Argentina,Premium,2023-05-20,586.1,61-70 years
U0432,31,Argentina,Premium,2022-12-03,44.6,31-40 years
U0433,59,Mexico,Standard,2022-08-22,101.4,51-60 years
U0434,57,Argentina,Basic,2022-05-11,124.6,51-60 years
U0435,45,Chile,Standard,2022-05-21,552.1,41-50 years
U0436,50,Mexico,Standard,2023-01-27,234.6,41-50 years
U0437,30,Colombia,Basic,2022-01-06,41.3,21-30 years
U0438,58,Mexico,Basic,2023-08-30,434.6,51-60 years
U0439,56,Argentina,Basic,2022-08-21,430.6,51-60 years
U0440,60,Colombia,Premium,2022-06-13,235.7,51-60 years
U0441,49,Chile,Standard,2022-12-16,210.4,41-50 years
U0442,61,Mexico,Standard,2023-02-06,221.1,61-70 years
U0443,22,Argentina,Standard,2023-07-05,643.9,21-30 years
U0444,59,Peru,Basic,2023-01-25,440.7,51-60 years
U0445,62,Colombia,Standard,2022-07-05,455.2,61-70 years
U0446,45,Argentina,Standard,2022-06-28,204.4,41-50 years
U0447,40,Colombia,Basic,2023-07-03,364.9,31-40 years
U0448,55,Mexico,Basic,2023-11-29,25.5,51-60 years
