session_id,user_id,content_id,watch_date,watch_duration_minutes,completion_percentage,device_type,quality_level
S001875,U0045,S024,2024-08-29,4,10.3,Mobile,SD
S001884,U0045,S048,2024-07-20,4,14.1,Smart TV,HD
S001887,U0045,S061,2024-05-11,6,13.5,Mobile,SD
S001890,U0045,S091,2024-03-05,3,12.0,Mobile,SD
S001897,U0045,M039,2024-07-10,12,12.3,Smart TV,HD
S001900,U0045,M146,2024-02-19,15,19.5,Smart TV,4K
S002075,U0048,M016,2024-06-06,14,15.3,Mobile,HD
S002100,U0049,M177,2024-05-13,22,13.7,Mobile,SD
S002107,U0049,M185,2024-01-17,28,19.8,Mobile,HD
S002118,U0049,S029,2024-06-15,8,19.4,Smart TV,HD
S002146,U0050,M122,2024-02-05,19,12.5,Smart TV,HD
S002185,U0051,S015,2024-08-12,4,14.1,Tablet,4K
S002214,U0051,M074,2024-03-13,24,16.6,Mobile,4K
S002227,U0051,M134,2024-05-06,21,15.9,Mobile,SD
S002228,U0052,M045,2024-05-16,17,14.4,Mobile,HD
S002259,U0052,M137,2024-03-13,26,21.3,Tablet,4K
S002263,U0052,S024,2024-06-07,9,19.4,Mobile,SD
S002264,U0052,S066,2024-08-20,5,16.8,Mobile,HD
S002273,U0052,S019,2024-08-18,6,15.4,Tablet,HD
S002289,U0053,M011,2024-04-26,17,21.0,Tablet,HD
S002293,U0053,M030,2024-03-23,26,18.4,Mobile,HD
S002337,U0054,M046,2024-08-13,25,17.6,Desktop,HD
S002339,U0054,S013,2024-04-24,8,16.1,Mobile,HD
S002343,U0054,M042,2024-02-27,23,14.1,Desktop,SD
S002362,U0055,M090,2024-08-15,9,11.2,Desktop,SD
S002493,U0058,S088,2024-03-22,8,15.1,Mobile,SD
S002577,U0061,S019,2024-03-30,6,16.1,Desktop,HD
S002580,U0061,M098,2024-03-24,30,21.4,Smart TV,HD
S002590,U0061,M070,2024-07-14,22,13.4,Smart TV,4K
S002595,U0061,S004,2024-06-19,9,16.6,Mobile,SD
S002602,U0061,M025,2024-01-11,32,20.1,Gaming Console,4K
S002608,U0061,S033,2024-06-07,6,21.6,Mobile,SD
S002685,U0064,S052,2024-02-20,6,12.2,Gaming Console,4K
S002690,U0064,M160,2024-05-16,20,12.5,Mobile,4K
S002700,U0065,S095,2024-07-17,3,11.0,Tablet,4K
S002722,U0065,M142,2024-03-29,30,18.0,Smart TV,HD
S002731,U0065,M165,2024-04-15,23,15.4,Mobile,SD
S002734,U0065,M092,2024-05-13,19,13.4,Tablet,SD
S002751,U0066,M154,2024-02-07,10,13.2,Mobile,SD
S002766,U0066,M035,2024-06-05,21,18.9,Smart TV,HD
S002832,U0068,M050,2024-07-04,11,12.1,Desktop,SD
S002838,U0068,S068,2024-07-26,3,15.0,Desktop,SD
S002839,U0068,M166,2024-01-21,25,16.6,Desktop,HD
S002857,U0068,M117,2024-01-27,26,15.4,Smart TV,HD
S002878,U0069,M013,2024-07-08,27,15.5,Smart TV,HD
S002889,U0070,M030,2024-06-19,15,10.8,Mobile,SD
S002905,U0070,M087,2024-02-15,28,20.8,Mobile,SD
S002962,U0071,M010,2024-02-07,20,11.9,Smart TV,HD
S002975,U0072,S060,2024-08-26,7,17.6,Tablet,SD
S002976,U0072,S043,2024-02-21,6,19.0,Tablet,SD
S003008,U0072,S016,2024-01-30,5,10.5,Tablet,4K
S003056,U0074,S043,2024-07-18,7,20.1,Mobile,SD
S003057,U0074,M038,2024-07-13,27,17.2,Mobile,SD
S003179,U0077,M020,2024-08-07,15,14.8,Desktop,HD
S003204,U0078,S094,2024-02-28,6,13.8,Tablet,4K
S003207,U0078,M130,2024-06-20,19,14.6,Desktop,HD
S003237,U0078,S035,2024-05-13,10,20.8,Desktop,HD
S003238,U0078,S044,2024-08-26,6,15.2,Tablet,HD
S003410,U0082,M142,2024-04-08,31,18.5,Mobile,HD
S003413,U0082,M197,2024-01-10,17,10.9,Mobile,SD
S003422,U0082,M030,2024-05-22,24,17.2,Smart TV,HD
S003433,U0082,M170,2024-04-18,21,17.1,Mobile,HD
S003435,U0082,M006,2024-08-23,22,14.6,Smart TV,4K
S003442,U0082,S064,2024-07-03,6,17.2,Tablet,4K
S003444,U0082,S060,2024-04-11,6,14.7,Desktop,4K
S003599,U0086,M001,2024-07-10,34,19.4,Mobile,SD
S003600,U0086,M020,2024-04-21,16,15.7,Mobile,HD
S003717,U0088,M047,2024-05-26,18,15.2,Mobile,HD
S003726,U0088,M186,2024-03-18,16,10.5,Smart TV,SD
S003771,U0090,S055,2024-07-30,8,14.8,Gaming Console,HD
S003775,U0090,M094,2024-02-10,28,16.7,Smart TV,HD
S003778,U0090,M151,2024-04-01,18,12.7,Mobile,HD
S003795,U0090,M028,2024-01-16,17,10.1,Desktop,4K
S003799,U0091,S016,2024-01-04,8,14.7,Desktop,4K
S003820,U0091,S015,2024-01-15,6,20.6,Mobile,HD
S003832,U0091,M189,2024-06-09,15,17.5,Mobile,HD
S003943,U0094,S006,2024-06-24,4,13.7,Gaming Console,SD
S003973,U0094,M003,2024-04-02,19,19.3,Mobile,HD
S003980,U0094,M116,2024-08-29,20,15.0,Mobile,SD
S003981,U0094,M107,2024-06-25,19,21.0,Smart TV,HD
S004199,U0100,S004,2024-04-30,6,11.3,Mobile,4K
S004213,U0101,S007,2024-08-26,7,12.4,Mobile,HD
S004317,U0103,M046,2024-05-14,14,10.2,Mobile,HD
S004323,U0103,M163,2024-01-23,10,12.4,Smart TV,HD
S004346,U0103,S058,2024-07-17,6,11.2,Mobile,HD
S004364,U0104,S055,2024-06-14,8,14.2,Smart TV,HD
S004412,U0105,M107,2024-07-04,16,18.7,Mobile,HD
S004579,U0108,M196,2024-06-06,11,11.5,Desktop,SD
S004585,U0108,S016,2024-04-22,6,11.0,Mobile,4K
S004594,U0108,S014,2024-06-14,8,14.2,Mobile,SD
S004630,U0109,M136,2024-04-25,14,14.8,Smart TV,SD
S004655,U0109,S062,2024-03-15,8,16.3,Smart TV,4K
S004656,U0109,S048,2024-08-24,6,20.9,Mobile,4K
S004657,U0109,M101,2024-08-19,19,12.6,Smart TV,4K
S004661,U0109,S033,2024-03-25,5,21.0,Smart TV,SD
S004682,U0110,S099,2024-02-16,7,18.7,Mobile,4K
S004687,U0110,M196,2024-04-26,14,14.8,Tablet,SD
S004859,U0113,M020,2024-01-15,13,12.7,Desktop,4K
S004861,U0113,S066,2024-05-23,7,20.9,Smart TV,HD
S004899,U0114,M122,2024-08-10,28,18.1,Smart TV,4K
S004917,U0115,M015,2024-03-12,24,13.9,Smart TV,HD
S004918,U0115,M180,2024-05-08,33,20.5,Smart TV,HD
S004946,U0116,M076,2024-03-22,34,20.7,Smart TV,HD
S005135,U0120,M072,2024-03-28,13,10.7,Gaming Console,HD
S005159,U0120,M084,2024-01-24,17,12.5,Smart TV,HD
S005195,U0121,S024,2024-05-31,10,21.1,Mobile,HD
S005202,U0121,M070,2024-06-12,26,15.3,Smart TV,HD
S005214,U0122,S015,2024-07-29,5,19.0,Smart TV,HD
S005319,U0124,S010,2024-08-22,5,10.9,Tablet,SD
S005341,U0124,M131,2024-01-06,29,16.7,Gaming Console,HD
S005344,U0124,M102,2024-07-30,15,10.5,Smart TV,HD
S005494,U0127,M150,2024-01-05,18,15.5,Tablet,4K
S005691,U0131,M038,2024-04-09,19,12.0,Mobile,HD
S005700,U0131,M057,2024-08-21,19,13.1,Smart TV,4K
S005722,U0133,M094,2024-08-08,22,13.1,Mobile,SD
S005726,U0133,M037,2024-08-30,12,13.4,Smart TV,SD
S005736,U0133,S095,2024-07-20,5,18.1,Mobile,HD
S005746,U0133,S019,2024-01-18,8,21.0,Smart TV,HD
S005747,U0133,S019,2024-05-17,5,14.4,Tablet,4K
S005768,U0133,M087,2024-03-27,14,10.6,Mobile,SD
S005838,U0136,M177,2024-07-19,30,18.2,Mobile,SD
S005842,U0136,M001,2024-03-12,21,12.2,Mobile,HD
S005874,U0137,M164,2024-03-24,22,16.1,Mobile,HD
S005887,U0137,S066,2024-02-21,3,10.5,Desktop,HD
S005895,U0137,M159,2024-07-22,13,13.6,Mobile,SD
S005928,U0139,M074,2024-01-10,26,18.3,Tablet,HD
S005934,U0139,S046,2024-03-06,2,11.6,Tablet,4K
S005956,U0139,M111,2024-07-16,20,21.5,Smart TV,HD
S005987,U0141,S043,2024-08-06,7,20.6,Smart TV,4K
S005994,U0141,M200,2024-01-06,17,14.0,Tablet,SD
S006006,U0141,M026,2024-05-17,30,18.9,Desktop,SD
S006007,U0141,M079,2024-05-24,29,19.2,Smart TV,HD
S006014,U0141,S016,2024-07-25,7,13.9,Mobile,SD
S006125,U0143,M012,2024-06-10,18,17.4,Smart TV,HD
S006508,U0151,S048,2024-03-27,3,11.7,Smart TV,4K
S006521,U0151,S003,2024-07-14,8,20.1,Tablet,HD
S006524,U0151,S035,2024-03-08,8,17.2,Smart TV,HD
S006648,U0154,M087,2024-02-20,25,18.6,Smart TV,4K
S007010,U0160,M083,2024-07-25,21,18.8,Tablet,4K
S007017,U0160,M106,2024-01-12,13,14.5,Smart TV,HD
S007021,U0160,M166,2024-02-04,32,21.1,Desktop,HD
S007033,U0160,M045,2024-03-23,24,19.6,Mobile,HD
S007036,U0161,M121,2024-04-16,18,12.1,Tablet,HD
S007077,U0162,M093,2024-07-02,17,20.4,Tablet,4K
S007082,U0162,M098,2024-01-02,19,13.6,Smart TV,4K
S007089,U0162,M002,2024-08-19,31,21.4,Tablet,SD
S007093,U0162,M192,2024-02-18,29,21.0,Desktop,HD
S007099,U0162,M154,2024-05-12,14,17.4,Mobile,HD
S007106,U0162,M123,2024-01-29,14,12.6,Smart TV,SD
S007117,U0162,M098,2024-03-03,18,13.4,Tablet,SD
S007167,U0163,M171,2024-01-06,29,19.9,Mobile,HD
S007170,U0163,M169,2024-02-08,32,20.9,Mobile,HD
S007196,U0163,S087,2024-05-23,9,17.4,Mobile,SD
S007197,U0163,S049,2024-05-18,6,18.4,Gaming Console,4K
S007444,U0170,S091,2024-07-22,5,18.0,Smart TV,HD
S007479,U0170,M012,2024-06-28,19,18.6,Mobile,SD
S007483,U0170,M087,2024-06-20,17,12.3,Desktop,HD
S007492,U0170,M181,2024-03-15,24,19.4,Mobile,SD
S007599,U0173,M180,2024-01-08,23,14.3,Mobile,SD
S007603,U0173,M033,2024-07-31,12,10.4,Smart TV,4K
S007612,U0174,M090,2024-02-21,10,12.4,Mobile,SD
S007619,U0174,M094,2024-02-29,18,10.9,Tablet,4K
S007626,U0174,M173,2024-04-10,21,12.9,Smart TV,HD
S007734,U0177,S024,2024-04-17,5,11.0,Tablet,SD
S007757,U0178,M047,2024-07-11,24,20.3,Mobile,SD
S007762,U0178,M181,2024-03-05,16,13.3,Smart TV,HD
S007788,U0178,S095,2024-04-12,6,21.3,Mobile,HD
S007792,U0178,M030,2024-03-05,28,19.8,Mobile,HD
S007799,U0178,M183,2024-04-25,13,15.8,Smart TV,HD
S007825,U0179,M154,2024-08-08,15,18.7,Smart TV,HD
S007838,U0180,M076,2024-05-20,31,19.3,Smart TV,HD
S007843,U0180,M116,2024-05-22,26,19.4,Mobile,HD
S007901,U0182,M117,2024-02-24,27,16.0,Smart TV,HD
S007905,U0182,M113,2024-03-21,18,10.5,Desktop,4K
S007908,U0182,S039,2024-03-15,8,17.1,Smart TV,4K
S007915,U0182,M057,2024-03-02,21,14.5,Smart TV,HD
S007925,U0182,M088,2024-04-24,24,16.5,Mobile,4K
S008011,U0184,M078,2024-08-05,31,20.1,Tablet,HD
S008109,U0188,S026,2024-08-06,9,16.9,Mobile,SD
S008114,U0189,M091,2024-02-22,24,20.3,Smart TV,HD
S008118,U0189,M053,2024-07-18,19,11.9,Gaming Console,HD
S008335,U0193,M087,2024-05-03,17,12.3,Mobile,HD
S008352,U0193,M170,2024-02-20,13,11.0,Mobile,HD
S008353,U0193,M027,2024-07-20,17,13.6,Tablet,4K
S008539,U0196,M147,2024-03-01,11,12.3,Smart TV,SD
S008545,U0196,M171,2024-04-08,18,12.9,Desktop,HD
S008552,U0196,M065,2024-04-02,15,15.4,Mobile,HD
S008623,U0198,S013,2024-07-17,5,10.6,Smart TV,4K
S008628,U0199,S076,2024-06-16,10,20.8,Mobile,SD
S008656,U0199,S058,2024-02-10,8,15.7,Gaming Console,4K
S008700,U0201,M012,2024-02-21,20,19.6,Smart TV,HD
S008708,U0201,M154,2024-03-01,11,14.6,Mobile,HD
S008712,U0201,S029,2024-05-02,6,14.6,Smart TV,HD
S008733,U0201,S024,2024-07-05,7,15.8,Mobile,HD
S008745,U0201,M026,2024-07-19,18,11.5,Smart TV,HD
S008751,U0202,M083,2024-08-06,18,16.0,Mobile,HD
S008797,U0203,S013,2024-02-27,6,13.4,Tablet,SD
S008819,U0205,M090,2024-04-03,17,20.1,Mobile,HD
S008845,U0205,S080,2024-06-12,6,19.2,Tablet,SD
S008852,U0205,S041,2024-04-03,3,10.8,Tablet,4K
S008889,U0206,M125,2024-01-15,30,18.5,Smart TV,HD
S008911,U0207,M171,2024-04-25,25,17.5,Smart TV,4K
S008937,U0208,M101,2024-05-04,32,21.5,Smart TV,4K
S009003,U0209,S029,2024-07-21,6,15.9,Smart TV,HD
S009045,U0211,M180,2024-05-10,30,18.5,Tablet,HD
S009065,U0211,M121,2024-01-19,33,21.7,Smart TV,SD
S009068,U0211,S006,2024-06-24,4,14.3,Smart TV,SD
S009070,U0211,S043,2024-05-01,4,12.8,Mobile,SD
S009074,U0211,S019,2024-03-25,8,20.7,Smart TV,HD
S009077,U0211,M091,2024-01-11,16,13.5,Gaming Console,4K
S009327,U0217,M012,2024-03-08,10,10.3,Tablet,HD
S009340,U0217,M152,2024-05-03,15,10.1,Smart TV,4K
S009355,U0218,M007,2024-05-04,23,17.6,Mobile,HD
S009381,U0219,M155,2024-02-21,22,19.3,Mobile,4K
S009398,U0219,M062,2024-01-04,25,19.0,Smart TV,4K
S009501,U0224,S066,2024-02-27,6,17.8,Smart TV,SD
S009506,U0224,M019,2024-08-04,16,20.1,Desktop,HD
S009528,U0224,S096,2024-01-05,8,14.1,Mobile,HD
S009538,U0224,M011,2024-02-15,13,16.9,Desktop,4K
S009544,U0225,M146,2024-05-31,13,16.3,Mobile,HD
S009574,U0225,M155,2024-05-13,17,15.0,Tablet,HD
S009578,U0225,M196,2024-08-27,15,15.5,Mobile,HD
S009654,U0227,M057,2024-04-10,17,11.9,Desktop,4K
S009666,U0228,M165,2024-05-29,26,17.6,Smart TV,4K
S009708,U0229,M101,2024-06-11,21,14.5,Mobile,4K
S009728,U0229,M136,2024-04-05,17,17.6,Mobile,4K
S009908,U0233,M090,2024-03-14,15,18.3,Tablet,4K
S009970,U0234,S052,2024-02-28,6,11.1,Tablet,HD
S009972,U0234,M134,2024-03-04,26,20.1,Smart TV,HD
S009976,U0234,S060,2024-08-02,5,13.5,Smart TV,HD
S009986,U0234,M187,2024-06-06,16,10.3,Mobile,SD
S010087,U0236,M123,2024-07-24,13,11.3,Tablet,4K
S010212,U0240,M102,2024-08-10,25,17.1,Mobile,HD
S010213,U0240,M047,2024-03-02,25,21.4,Smart TV,SD
S010254,U0243,S033,2024-07-17,6,21.5,Mobile,HD
S010266,U0243,M165,2024-08-16,16,10.8,Smart TV,SD
S010270,U0243,S010,2024-02-13,5,11.0,Desktop,HD
S010275,U0243,M081,2024-08-31,21,13.7,Desktop,HD
S010325,U0244,M114,2024-08-07,25,16.8,Smart TV,HD
S010337,U0245,M168,2024-07-09,28,20.6,Mobile,HD
S010343,U0245,S008,2024-06-24,4,15.1,Desktop,HD
S010347,U0245,M148,2024-06-30,26,17.0,Mobile,SD
S010351,U0245,M125,2024-06-03,20,12.4,Desktop,HD
S010362,U0245,M137,2024-02-05,26,21.3,Smart TV,SD
S010368,U0245,S049,2024-01-05,5,13.8,Smart TV,HD
S010378,U0245,M037,2024-06-24,9,11.0,Smart TV,4K
S010380,U0245,M161,2024-07-14,20,19.3,Desktop,4K
S010472,U0247,M092,2024-08-11,20,14.5,Smart TV,HD
S010474,U0247,S095,2024-02-24,4,13.0,Mobile,HD
S010475,U0247,M121,2024-04-05,21,13.8,Smart TV,HD
S010494,U0247,S017,2024-05-31,4,11.3,Mobile,HD
S010505,U0247,M029,2024-04-22,26,21.2,Mobile,4K
S010648,U0250,M032,2024-08-25,24,18.3,Tablet,HD
S010671,U0250,S016,2024-08-02,6,11.7,Mobile,HD
S010715,U0251,S062,2024-06-10,9,18.1,Desktop,SD
S010724,U0251,M107,2024-04-30,12,14.0,Smart TV,HD
S010727,U0251,S022,2024-07-31,4,11.0,Smart TV,HD
S010728,U0251,S067,2024-05-19,11,19.5,Smart TV,HD
S010737,U0251,M030,2024-01-01,19,13.5,Desktop,SD
S010746,U0252,M037,2024-08-02,10,11.6,Tablet,HD
S010762,U0252,M158,2024-04-23,21,12.5,Smart TV,4K
S010764,U0252,M181,2024-07-18,19,15.7,Mobile,4K
S010780,U0252,S060,2024-02-19,7,17.1,Desktop,4K
S010783,U0252,S019,2024-07-19,6,17.5,Gaming Console,4K
S010799,U0252,M136,2024-03-28,19,19.2,Smart TV,SD
S010803,U0252,M123,2024-06-06,16,13.9,Tablet,4K
S010817,U0253,M135,2024-03-19,25,14.8,Mobile,HD
S010880,U0255,M161,2024-05-27,18,17.7,Tablet,HD
S010896,U0255,S068,2024-07-06,4,19.1,Mobile,HD
S010922,U0255,M198,2024-06-24,14,14.7,Smart TV,4K
S010930,U0255,M185,2024-05-08,22,15.5,Mobile,4K
S010934,U0255,S033,2024-04-17,3,12.3,Desktop,SD
S010979,U0257,S061,2024-05-07,9,18.6,Smart TV,HD
S010992,U0257,S008,2024-07-05,4,15.8,Mobile,HD
S011001,U0257,M032,2024-06-14,26,20.3,Mobile,HD
S011017,U0257,M148,2024-08-27,30,19.3,Smart TV,HD
S011018,U0257,M189,2024-07-20,16,18.1,Smart TV,4K
S011040,U0258,M188,2024-03-27,15,13.3,Gaming Console,SD
S011072,U0258,M138,2024-06-03,31,21.6,Smart TV,SD
S011074,U0258,M042,2024-03-18,22,13.8,Tablet,HD
S011076,U0258,S044,2024-08-30,6,13.1,Smart TV,HD
S011083,U0258,M030,2024-08-13,19,13.5,Mobile,SD
S011237,U0261,M015,2024-08-18,24,13.7,Mobile,SD
S011258,U0262,S045,2024-05-17,3,16.4,Smart TV,4K
S011261,U0262,M149,2024-08-22,22,19.0,Tablet,HD
S011262,U0262,M091,2024-01-12,14,11.5,Mobile,SD
S011277,U0262,M147,2024-08-20,11,12.7,Smart TV,HD
S011293,U0262,S056,2024-03-19,9,15.6,Smart TV,4K
S011373,U0265,S009,2024-08-01,6,16.9,Tablet,4K
S011388,U0265,M012,2024-03-30,15,14.6,Smart TV,4K
S011403,U0265,S041,2024-04-24,7,20.6,Gaming Console,SD
S011477,U0267,M169,2024-02-21,24,15.8,Gaming Console,HD
S011507,U0267,S043,2024-07-07,5,16.3,Smart TV,4K
S011515,U0268,M189,2024-06-13,14,16.7,Mobile,SD
S011540,U0268,S076,2024-04-03,7,15.7,Desktop,HD
S011547,U0268,M134,2024-02-26,15,11.9,Mobile,HD
S011583,U0269,S013,2024-01-04,9,17.5,Mobile,HD
S011620,U0271,M123,2024-03-25,25,21.3,Mobile,SD
S011642,U0272,S024,2024-04-14,10,21.6,Smart TV,4K
S011648,U0272,M169,2024-06-30,21,14.0,Smart TV,HD
S011767,U0274,M027,2024-08-27,25,19.8,Gaming Console,4K
S011783,U0274,M117,2024-06-30,24,14.5,Tablet,4K
S011813,U0274,S095,2024-04-10,6,20.0,Smart TV,HD
S011887,U0276,M163,2024-03-01,8,10.0,Mobile,SD
S011919,U0276,S080,2024-05-28,4,12.0,Smart TV,SD
S011938,U0276,S045,2024-04-17,4,19.0,Smart TV,SD
S012068,U0280,S053,2024-01-19,7,17.1,Smart TV,HD
S012097,U0281,M006,2024-02-13,15,10.1,Tablet,HD
S012122,U0282,S007,2024-08-12,10,17.6,Mobile,SD
S012192,U0284,M047,2024-04-02,17,14.4,Smart TV,4K
S012205,U0284,S016,2024-02-02,10,18.4,Mobile,HD
S012211,U0284,M138,2024-04-25,27,18.6,Smart TV,SD
S012215,U0284,M173,2024-01-21,28,17.2,Smart TV,SD
S012297,U0286,M143,2024-04-08,23,15.7,Desktop,SD
S012300,U0286,M193,2024-03-06,16,17.8,Desktop,4K
S012312,U0286,S058,2024-03-15,11,20.5,Smart TV,HD
S012314,U0286,M198,2024-03-09,20,20.8,Mobile,HD
S012332,U0286,S065,2024-06-22,7,16.9,Smart TV,SD
S012696,U0292,S019,2024-06-05,4,10.8,Mobile,HD
S012726,U0292,M183,2024-06-04,12,14.5,Tablet,HD
S012734,U0292,M152,2024-05-30,29,19.4,Desktop,SD
S012738,U0292,M136,2024-04-08,16,16.4,Tablet,4K
S012762,U0293,M096,2024-02-29,10,12.4,Tablet,HD
S012787,U0293,M001,2024-04-08,30,17.2,Tablet,HD
S012811,U0293,S066,2024-07-25,4,12.1,Smart TV,HD
S012882,U0295,M166,2024-04-19,27,17.7,Mobile,HD
S012980,U0298,M036,2024-01-01,10,10.3,Smart TV,SD
S013017,U0298,M143,2024-08-11,26,17.7,Desktop,HD
S013056,U0300,S001,2024-01-10,8,17.5,Desktop,SD
S013165,U0303,M087,2024-04-15,15,11.1,Mobile,SD
S013180,U0303,S095,2024-07-10,5,16.9,Smart TV,HD
S013219,U0304,S092,2024-08-26,9,16.6,Desktop,4K
S013233,U0304,S007,2024-05-20,10,17.7,Tablet,SD
S013234,U0304,M004,2024-06-01,28,19.3,Smart TV,4K
S013362,U0308,M044,2024-07-13,26,20.0,Mobile,SD
S013371,U0308,M019,2024-06-24,13,16.1,Smart TV,HD
S013385,U0308,M168,2024-07-30,26,19.2,Mobile,HD
S013580,U0313,M189,2024-08-07,13,15.2,Smart TV,HD
S013585,U0313,M149,2024-06-07,22,19.3,Gaming Console,4K
S013606,U0313,S087,2024-02-04,7,14.5,Mobile,HD
S013607,U0313,M161,2024-01-10,11,11.4,Smart TV,4K
S013693,U0315,M025,2024-04-09,16,10.2,Tablet,HD
S013701,U0316,M165,2024-03-10,27,17.7,Tablet,4K
S013702,U0316,M006,2024-08-29,21,13.9,Mobile,SD
S013715,U0316,M027,2024-03-05,12,10.0,Smart TV,SD
S013850,U0320,M003,2024-05-23,21,20.7,Mobile,HD
S013910,U0322,S060,2024-08-18,5,13.3,Desktop,SD
S013921,U0322,S016,2024-03-14,10,20.0,Tablet,4K
S013932,U0323,M108,2024-08-22,13,11.8,Desktop,HD
S013933,U0323,S029,2024-08-20,7,18.5,Smart TV,HD
S013934,U0323,M172,2024-08-13,19,13.9,Smart TV,HD
S013943,U0323,S015,2024-03-07,6,21.5,Smart TV,HD
S013949,U0323,M170,2024-01-05,18,14.7,Smart TV,HD
S013956,U0323,M124,2024-06-28,19,12.9,Mobile,HD
S013969,U0323,S020,2024-03-09,6,19.0,Tablet,4K
S014081,U0325,M142,2024-01-03,29,17.4,Mobile,SD
S014084,U0325,M101,2024-01-22,17,11.7,Mobile,HD
S014088,U0325,M116,2024-05-31,27,20.0,Smart TV,4K
S014100,U0325,S008,2024-05-10,3,13.5,Tablet,HD
S014160,U0328,S006,2024-04-30,4,16.2,Mobile,SD
S014166,U0328,M159,2024-02-20,18,19.0,Mobile,HD
S014169,U0328,S065,2024-02-21,7,16.8,Smart TV,4K
S014214,U0329,S039,2024-01-02,9,18.3,Mobile,SD
S014334,U0332,S046,2024-02-27,3,15.7,Smart TV,4K
S014344,U0332,M197,2024-01-02,16,10.2,Tablet,4K
S014465,U0336,M134,2024-01-04,22,17.2,Smart TV,HD
S014482,U0336,M188,2024-02-02,21,18.9,Smart TV,HD
S014485,U0336,S027,2024-04-23,6,12.5,Tablet,HD
S014491,U0336,M027,2024-06-20,15,12.3,Tablet,4K
S014572,U0338,M107,2024-07-25,14,15.7,Smart TV,HD
S014609,U0340,S006,2024-08-26,4,13.7,Smart TV,HD
S014621,U0340,S022,2024-02-27,6,17.7,Desktop,SD
S014645,U0340,M144,2024-04-13,23,21.0,Smart TV,HD
S014689,U0341,S068,2024-08-27,4,19.7,Mobile,HD
S014692,U0341,M146,2024-02-22,11,13.6,Tablet,HD
S014725,U0341,S015,2024-05-17,3,11.7,Tablet,4K
S014728,U0341,S021,2024-05-25,8,18.5,Smart TV,HD
S014745,U0341,M086,2024-05-28,19,14.7,Mobile,HD
S014765,U0342,S096,2024-05-22,10,16.8,Smart TV,HD
S014969,U0345,M033,2024-05-30,13,11.3,Mobile,SD
S015130,U0349,M171,2024-05-09,26,17.8,Mobile,HD
S015283,U0351,M020,2024-02-05,10,10.2,Smart TV,HD
S015284,U0351,M039,2024-01-18,14,13.7,Gaming Console,HD
S015287,U0351,M079,2024-01-28,23,15.2,Smart TV,HD
